日期,品牌id,门店id,cpc总费用,cpc曝光人数,cpc进店人数
2019/11/19,4636,8106681,268.17,2939,232
2019/11/20,4636,8106681,335,3453,272
2019/11/22,4636,8106681,473.73,5482,385
2019/11/24,4636,8106681,320,4132,285
2019/11/25,4636,8106681,119.63,1496,104
2019/11/26,4636,8106681,1.1,12,1
2019/11/27,4636,8106681,100,1650,88
2019/11/28,4636,8106681,300,3817,238
2019/12/2,4636,8106681,283.56,2810,231
2019/12/3,4636,8106681,283.28,3291,221
2019/12/4,4636,8106681,265.57,2914,222
2019/12/5,4636,8106681,287.59,3246,222
2019/12/6,4636,8106681,295,3486,239
2019/12/7,4636,8106681,281.54,3495,239
2019/12/8,4636,8106681,271.85,3644,231
2019/12/9,4636,8106681,195.35,2329,140
2019/12/10,4636,8106681,177.5,2115,129
2019/12/11,4636,8106681,188.9,2196,140
2019/12/13,4636,8106681,230,3046,166
2019/12/14,4636,8106681,135,2297,115
2019/12/15,4636,8106681,22.16,339,19
2019/12/16,4636,8106681,81,1008,65
2019/12/17,4636,8106681,72.61,1100,57
2019/12/18,4636,8106681,25.5,419,22
2019/12/19,4636,8106681,52.86,871,43
2019/12/20,4636,8106681,47.91,767,33
2019/12/24,4636,8106681,2.09,51,2
2020/2/28,4636,8106681,38.3,732,50
2020/2/29,4636,8106681,11.7,144,10
2020/3/1,4636,8106681,48.72,805,50
2020/3/2,4636,8106681,1.28,7,2
2019/11/26,4636,8165842,170.57,1352,126
2019/11/27,4636,8165842,222.07,2259,169
2019/11/28,4636,8165842,292.5,2753,216
2019/11/29,4636,8165842,296.97,2847,233
2019/11/30,4636,8165842,300,3601,273
2019/12/1,4636,8165842,284.9,3663,258
2019/12/4,4636,8165842,191.81,2419,133
2019/12/5,4636,8165842,131.79,1963,114
2019/12/7,4636,8165842,9.39,126,9
2019/12/8,4636,8165842,300,4389,228
2019/12/10,4636,8165842,240.3,2937,164
2019/12/11,4636,8165842,259.99,3822,204
2019/12/14,4636,8165842,250,3249,164
2019/12/15,4636,8165842,249.71,4033,199
2019/12/16,4636,8165842,265.3,3821,191
2019/12/17,4636,8165842,238.82,2901,169
2019/12/18,4636,8165842,256.27,2684,168
2019/12/19,4636,8165842,258.35,2676,164
2019/12/20,4636,8165842,269.24,3025,157
2019/12/21,4636,8165842,290.41,3569,205
2019/12/22,4636,8165842,219.87,2481,131
2019/12/23,4636,8165842,249.51,2709,153
2019/12/24,4636,8165842,141.7,1621,96
2019/12/25,4636,8165842,231.75,2924,146
2019/12/26,4636,8165842,250,2577,151
2019/12/27,4636,8165842,223.64,2516,136
2019/12/28,4636,8165842,178.09,2086,129
2019/12/29,4636,8165842,216.15,2827,131
2019/11/27,4636,8184590,246.2,2663,238
2019/11/28,4636,8184590,228.98,3370,216
2019/11/29,4636,8184590,176.47,2184,161
2019/12/1,4636,8184590,300,4066,273
2019/12/2,4636,8184590,424.35,4036,317
2019/12/3,4636,8184590,470.79,5892,402
2019/12/4,4636,8184590,74.38,1298,68
2019/12/5,4636,8184590,500,6198,366
2019/12/6,4636,8184590,1.4,7,1
2019/12/8,4636,8184590,293.85,4112,241
2019/12/9,4636,8184590,246.1,3597,192
2019/12/10,4636,8184590,225.65,2711,173
2019/12/13,4636,8184590,299.99,3579,200
2019/12/14,4636,8184590,0.02,0,1
2019/12/15,4636,8184590,49.99,685,45
2019/12/16,4636,8184590,295.49,3711,216
2019/12/17,4636,8184590,237.4,3203,197
2019/12/18,4636,8184590,269.41,3790,204
2019/12/19,4636,8184590,237.01,3138,173
2019/12/20,4636,8184590,96.56,1558,72
2019/12/21,4636,8184590,273.09,4328,228
2019/12/22,4636,8184590,148.85,2218,105
2019/12/23,4636,8184590,173.81,2306,132
2019/12/24,4636,8184590,185.05,2072,131
2019/12/25,4636,8184590,206.7,2160,162
2019/12/26,4636,8184590,250,2760,187
2019/12/27,4636,8184590,211.75,2739,154
2019/12/28,4636,8184590,84.33,900,58
2019/12/29,4636,8184590,182.4,2378,154
2019/12/30,4636,8184590,198.77,2806,141
2019/12/31,4636,8184590,219.91,3228,174
2020/1/1,4636,8184590,243.8,3660,194
2020/1/2,4636,8184590,155.12,1683,104
2020/1/4,4636,8184590,100,1738,89
2020/3/9,4636,8184590,23.6,313,23
2020/3/10,4636,8184590,38.74,507,33
2020/3/11,4636,8184590,37.66,447,34
2020/3/20,4636,8184590,48.81,414,32
2020/3/21,4636,8184590,17.92,258,15
2020/3/22,4636,8184590,13.25,183,13
2020/3/23,4636,8184590,39.32,331,26
2020/3/24,4636,8184590,43.4,327,26
2020/3/25,4636,8184590,5.81,56,6
2020/4/2,4636,8184590,32.16,263,17
2020/4/20,4636,8184590,32.92,350,16
2020/4/21,4636,8184590,17.03,176,13
2020/4/22,4636,8184590,13.62,249,10
2020/4/23,4636,8184590,4.2,41,3
2020/3/6,4636,8491999,46.6,972,66
2020/3/7,4636,8491999,26.09,855,59
2020/3/8,4636,8491999,50,912,64
2020/3/9,4636,8491999,47.08,1014,61
2020/3/10,4636,8491999,15.98,775,59
2020/3/11,4636,8491999,14.25,193,19
2020/3/12,4636,8491999,20,429,34
2020/3/13,4636,8491999,46.91,792,58
2020/3/14,4636,8491999,20.86,480,27
2020/3/15,4636,8491999,44.63,947,46
2020/3/16,4636,8491999,39.22,671,41
2020/3/17,4636,8491999,38.87,676,40
2020/3/18,4636,8491999,40.37,448,40
2020/3/19,4636,8491999,27.04,501,27
2020/3/20,4636,8491999,22.1,559,21
2020/3/23,4636,8491999,31.06,521,29
2020/3/24,4636,8491999,39.3,658,37
2020/3/25,4636,8491999,35.19,528,29
2020/3/26,4636,8491999,60,848,50
2020/3/27,4636,8491999,20.57,286,17
2020/3/28,4636,8491999,18.38,484,20
2020/3/29,4636,8491999,1.3,38,1
2020/3/30,4636,8491999,59.84,860,45
2020/3/31,4636,8491999,44.52,650,34
2020/4/1,4636,8491999,37.24,351,26
2020/4/2,4636,8491999,46.08,757,35
2020/4/3,4636,8491999,48.48,657,35
