日期,品牌id,品牌名称,门店id,门店名称,城市,平台,GMV,商家实收,商家补贴,平台补贴,曝光人数,进店人数,下单人数,有效订单数,无效订单数
2019/11/18,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,2954,1146,1511,489,335,58,21,56,0
2019/11/19,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,5051,2019,2524,798,6572,727,55,91,3
2019/11/20,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,4847,1911,2442,956,6692,631,89,93,1
2019/11/21,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,4847,1911,2442,956,7159,606,88,93,1
2019/11/22,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,5513,2177,2785,1051,5749,625,97,103,0
2019/11/23,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,5630,2311,2759,957,6605,583,93,101,3
2019/11/24,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,5165,2022,2631,858,4652,506,92,93,3
2019/11/25,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,5627,2232,2814,1132,6778,655,113,111,3
2019/11/26,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,4592,1815,2281,825,4748,462,89,92,4
2019/11/27,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,3333,1240,1763,335,6798,553,63,63,3
2019/11/28,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,3011,1157,1542,308,4521,432,57,59,0
2019/11/29,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,4165,1624,2125,387,8968,529,75,76,0
2019/11/30,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,3024,1153,1570,293,6278,494,60,57,4
2019/12/1,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,3654,1369,1918,337,7011,506,67,69,2
2019/12/2,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,2993,1144,1545,264,3307,372,52,55,2
2019/12/3,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,3594,1332,1868,585,3749,391,72,76,5
2019/12/4,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,3813,1484,1947,578,3632,396,75,73,4
2019/12/5,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,4240,1659,2148,716,3932,422,77,80,2
2019/12/6,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,4203,1609,2170,747,4141,402,81,83,2
2019/12/7,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,3046,1176,1557,494,3837,375,57,59,0
2019/12/8,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,3322,1287,1694,559,3887,384,61,64,0
2019/12/9,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,2969,1090,1562,642,3168,300,61,63,3
2019/12/10,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,2729,1081,1367,475,2989,294,53,53,1
2019/12/11,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,2720,1059,1378,343,3007,311,53,54,1
2019/12/12,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,2533,994,1276,269,3520,284,49,49,0
2019/12/13,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,2977,1193,1489,254,3378,290,53,52,1
2019/12/14,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,2044,793,1036,129,2811,212,36,37,0
2019/12/15,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,1624,548,895,137,1465,152,32,36,1
2019/12/16,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,1138,363,665,76,1802,167,21,21,0
2019/12/17,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,2175,759,1196,192,2195,205,43,43,0
2019/12/18,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,1721,590,942,135,1625,150,38,37,3
2019/12/19,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,1295,408,744,59,1779,153,28,28,0
2019/12/20,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,1098,411,563,40,1651,126,20,19,1
2019/12/21,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,1412,523,727,59,1255,99,27,27,1
2019/12/22,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,1194,424,628,57,1029,89,21,23,1
2019/12/23,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,1198,423,634,50,1080,92,23,24,1
2019/12/24,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,200,73,104,10,539,53,4,4,0
2019/12/25,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,1235,437,651,51,906,95,25,25,0
2019/12/26,4636,蛙小辣,8106681,蛙小辣-怒江路店,上海,美团,801,294,416,33,1105,98,16,16,0
